,JoinID,ClickID,ClickPosition,ClickCost
1,1,click1,Footer,0.079446032612875
4,4,click4,Footer,1.3706255930596096
7,7,click7,Sidebar,0.4021909212193593
8,8,click8,Popup,1.1738211869466797
9,9,click9,Footer,0.1029948666009298
15,15,click15,Sidebar,0.3623325131754334
16,16,click16,Footer,1.256064897913476
17,17,click17,Sidebar,1.6991508073384036
20,20,click20,Popup,1.903163208224813
23,23,click23,Header,0.2608227321408533
25,25,click25,Footer,1.4641177695878511
26,26,click26,Footer,1.3997394480815597
30,30,click30,Banner,0.5405962292837643
38,38,click38,Footer,0.4449075077704343
39,39,click39,Header,1.4451828195759355
40,40,click40,Header,1.8277829249404796
42,42,click42,Sidebar,0.8850840403254938
43,43,click43,Footer,1.5940804631067196
44,44,click44,Sidebar,1.4982114871277157
46,46,click46,Popup,0.3964923374657152
48,48,click48,Sidebar,1.143510631385422
50,50,click50,Header,1.7595140807154317
51,51,click51,Sidebar,0.7538394766969938
53,53,click53,Popup,0.0103322283499761
54,54,click54,Header,0.8312297544984577
56,56,click56,Banner,0.3444223193603081
57,57,click57,Header,0.493166253705295
58,58,click58,Sidebar,0.6476973736982334
61,61,click61,Popup,1.71672584604847
64,64,click64,Sidebar,0.6904131169682287
66,66,click66,Footer,0.3027474670410034
67,67,click67,Banner,1.522346780868977
68,68,click68,Popup,1.2286835261007023
69,69,click69,Sidebar,1.348231785621418
72,72,click72,Banner,0.4628871138285234
73,73,click73,Popup,0.3440426189284232
76,76,click76,Sidebar,1.2893714865492425
77,77,click77,Header,0.9901877416172788
78,78,click78,Popup,1.753660066297305
80,80,click80,Footer,1.5453662114602635
81,81,click81,Header,1.9746598226230636
83,83,click83,Sidebar,0.5814824588759088
89,89,click89,Header,1.7779787287655373
91,91,click91,Footer,1.1484427969802105
93,93,click93,Popup,1.97635454928468
95,95,click95,Banner,0.8563730519269881
96,96,click96,Header,0.7794626202148833
97,97,click97,Popup,1.2019585686982786
102,102,click102,Header,0.8640605807994275
109,109,click109,Banner,1.9013238092035825
110,110,click110,Sidebar,0.619117077103791
114,114,click114,Footer,0.2260461288986738
116,116,click116,Footer,0.7506595569112917
121,121,click121,Banner,1.304409869782767
122,122,click122,Sidebar,1.2757303872929966
123,123,click123,Header,1.334035287660767
125,125,click125,Banner,0.4405389013827115
126,126,click126,Footer,1.720025945595368
131,131,click131,Header,0.8071998214643026
132,132,click132,Footer,1.272646949887514
133,133,click133,Footer,0.2193141117321589
135,135,click135,Footer,1.788403695970224
136,136,click136,Footer,0.9719214621379664
139,139,click139,Sidebar,0.7727229444338957
143,143,click143,Banner,1.4458068819003735
144,144,click144,Sidebar,0.7160720084787523
146,146,click146,Banner,0.1449346415395738
156,156,click156,Popup,0.7937177899434881
157,157,click157,Banner,0.3513740566885242
158,158,click158,Banner,1.8540126658922935
159,159,click159,Footer,0.6472530518823106
160,160,click160,Sidebar,0.8338316600948025
161,161,click161,Banner,1.8172817147416975
163,163,click163,Header,1.5530943131065638
172,172,click172,Header,0.1473654967566492
175,175,click175,Footer,0.8472810538226164
176,176,click176,Footer,0.3779063921865264
177,177,click177,Banner,1.9183967021859976
178,178,click178,Banner,0.7190062833939278
179,179,click179,Popup,1.9257411067777768
180,180,click180,Banner,1.4885128830756955
184,184,click184,Popup,1.0138295351571205
185,185,click185,Popup,0.8748596158142795
190,190,click190,Banner,0.9144146453995294
191,191,click191,Popup,0.9864602236123516
194,194,click194,Banner,1.6025138898982376
196,196,click196,Banner,0.4988832303514934
197,197,click197,Footer,0.2049558127348839
200,200,click200,Header,1.5633878805108443
202,202,click202,Sidebar,1.0309415980848695
206,206,click206,Header,1.5748949468928028
207,207,click207,Footer,1.497462791261468
208,208,click208,Footer,0.3165512694824541
209,209,click209,Footer,0.2129111698052594
216,216,click216,Footer,0.2330912209202762
222,222,click222,Header,1.4627409898771313
223,223,click223,Banner,0.1975835194664361
224,224,click224,Header,1.7415043123665157
226,226,click226,Sidebar,0.1367589072204248
227,227,click227,Header,1.3845390717940234
229,229,click229,Popup,1.263841070901723
230,230,click230,Footer,0.9122229731303124
231,231,click231,Footer,1.575293604114398
232,232,click232,Footer,0.8865841783682851
234,234,click234,Header,0.2182068015190151
239,239,click239,Banner,0.6825577566218918
243,243,click243,Banner,1.9445289198699776
245,245,click245,Popup,0.3406721002782611
248,248,click248,Header,0.9842905505698458
250,250,click250,Banner,0.0674506639588243
255,255,click255,Footer,0.8333546451979222
256,256,click256,Popup,1.5322170476903056
263,263,click263,Footer,1.9698548336237256
264,264,click264,Header,0.827107396642345
267,267,click267,Footer,0.6835976196065547
268,268,click268,Banner,1.259652654745065
271,271,click271,Header,0.7193065332792429
272,272,click272,Banner,0.9789803958366936
273,273,click273,Sidebar,0.044195485990932
274,274,click274,Footer,1.827909868102232
276,276,click276,Sidebar,0.9968434626731836
279,279,click279,Footer,1.7683685609718804
280,280,click280,Footer,1.8618226154054196
284,284,click284,Sidebar,1.459328945414882
285,285,click285,Banner,1.931136925619928
292,292,click292,Footer,0.5447658127145795
293,293,click293,Header,0.0511917405852927
299,299,click299,Footer,1.5339468158011609
300,300,click300,Banner,0.3678154617816024
302,302,click302,Footer,1.0167404154193462
304,304,click304,Sidebar,0.3731639779884416
307,307,click307,Banner,0.548992879341408
310,310,click310,Banner,1.672452242794369
312,312,click312,Popup,1.7150693833054909
319,319,click319,Header,1.187010621245656
321,321,click321,Footer,0.8476761101959973
323,323,click323,Footer,1.4926412522029382
324,324,click324,Sidebar,0.5606863954580434
328,328,click328,Header,1.047599836724781
329,329,click329,Popup,1.2604590723526434
331,331,click331,Banner,1.9284775314386948
333,333,click333,Popup,1.0546114342682966
342,342,click342,Header,1.640491776965748
344,344,click344,Banner,0.1932953301636806
346,346,click346,Sidebar,0.7723990778702912
347,347,click347,Footer,0.5914564764604963
348,348,click348,Banner,1.7996270585298375
349,349,click349,Sidebar,1.380796709521351
350,350,click350,Header,1.694608186059503
351,351,click351,Popup,1.404723993741418
352,352,click352,Popup,1.635069233887706
353,353,click353,Header,1.8568733733731413
356,356,click356,Popup,0.3815611356461729
358,358,click358,Banner,1.568822424195818
362,362,click362,Header,0.2871087546070013
364,364,click364,Header,0.0266985159937836
366,366,click366,Header,1.5311150236889168
375,375,click375,Sidebar,1.1708145880687109
382,382,click382,Sidebar,1.2762098918013711
386,386,click386,Sidebar,1.5480229315593892
388,388,click388,Header,1.082344698724668
390,390,click390,Footer,1.230162417808199
395,395,click395,Footer,0.5549024845255468
396,396,click396,Header,0.5354565132640762
398,398,click398,Banner,1.1171657774468362
400,400,click400,Sidebar,0.0463022901028997
401,401,click401,Footer,0.0903314322613729
404,404,click404,Popup,1.381579879252631
406,406,click406,Header,1.3355819715327866
411,411,click411,Banner,0.4471473960226241
413,413,click413,Header,1.630625640642739
414,414,click414,Popup,0.9123591375950274
417,417,click417,Header,1.308739139418544
418,418,click418,Footer,1.9054788243206895
423,423,click423,Sidebar,0.718891625771376
426,426,click426,Sidebar,0.6456238512953083
438,438,click438,Header,1.344981061362853
442,442,click442,Popup,0.884205982092325
443,443,click443,Header,0.94158317030368
447,447,click447,Header,0.6123950561314854
448,448,click448,Popup,0.8085662070647638
453,453,click453,Banner,0.3254832698878712
455,455,click455,Popup,1.3513788263339217
456,456,click456,Banner,0.3005442555573741
457,457,click457,Header,1.0933927188144823
459,459,click459,Popup,0.4370449812322763
462,462,click462,Popup,0.9767263644714548
463,463,click463,Header,0.640535529462363
466,466,click466,Banner,0.2886473718427458
469,469,click469,Header,1.9351998768384933
472,472,click472,Popup,1.2648716110674147
474,474,click474,Sidebar,1.162193994433289
477,477,click477,Sidebar,0.6512663100383971
478,478,click478,Header,0.8199173418286695
482,482,click482,Banner,1.476138308361577
484,484,click484,Banner,1.4397542321000274
486,486,click486,Banner,1.8801592587688591
494,494,click494,Banner,0.1723974968153963
496,496,click496,Popup,0.3889211470963922
498,498,click498,Popup,0.6172131835376694
